Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Average MPG
0.8571428571428571,0.2959830866807611,0.375,0.75,1.0,0.5362318840579711,0.0,0.5333333333333333,22.5
0.8571428571428571,0.258985200845666,0.375,0.75,1.0,0.9565217391304348,0.0,0.4,23.5
0.8571428571428571,0.258985200845666,0.375,0.75,1.0,0.9130434782608696,0.0,0.5333333333333333,24.0
0.8571428571428571,0.1849894291754757,0.375,0.75,1.0,0.9565217391304348,0.0,0.5333333333333333,23.0
0.8571428571428571,0.1849894291754757,0.375,0.75,1.0,0.8985507246376812,0.0,0.4,23.0
0.8571428571428571,0.258985200845666,0.375,0.75,1.0,0.9565217391304348,0.0,0.4,21.5
0.8571428571428571,0.1849894291754757,0.375,0.75,1.0,0.8985507246376812,0.0,0.4,22.5
0.8571428571428571,0.1849894291754757,0.375,0.75,1.0,0.9565217391304348,0.0,0.5333333333333333,23.5
0.8571428571428571,0.1849894291754757,0.375,0.75,1.0,0.9565217391304348,0.0,0.5333333333333333,23.5
0.8571428571428571,0.28012684989429176,0.375,0.75,1.0,0.9130434782608696,0.0,0.4,21.5
0.8571428571428571,0.28012684989429176,0.375,0.75,1.0,0.9130434782608696,0.0,0.5333333333333333,24.0
1.0,0.1236786469344609,0.375,0.75,0.6666666666666666,0.8985507246376812,1.0,0.9333333333333333,20.5
1.0,0.1236786469344609,0.375,0.25,0.0,0.8985507246376812,1.0,1.0,18.0
1.0,0.1236786469344609,0.375,0.75,0.0,0.8985507246376812,1.0,0.9333333333333333,18.5
1.0,0.1236786469344609,0.375,0.25,0.6666666666666666,0.8985507246376812,1.0,1.0,18.5
1.0,0.1236786469344609,0.375,0.75,0.6666666666666666,0.8985507246376812,1.0,0.9333333333333333,19.5
1.0,0.1236786469344609,0.375,0.25,0.6666666666666666,0.8985507246376812,1.0,0.9333333333333333,19.0
1.0,0.1236786469344609,0.375,0.25,0.0,0.8985507246376812,1.0,1.0,18.5
0.7142857142857142,0.11099365750528542,0.25,0.75,1.0,0.9855072463768116,0.0,0.4,30.5
0.7142857142857142,0.11099365750528542,0.25,0.75,1.0,0.9855072463768116,0.0,0.4,30.5
1.0,0.07928118393234673,0.25,0.75,1.0,0.8985507246376812,0.0,0.9333333333333333,22.0
1.0,0.10887949260042284,0.375,0.75,1.0,0.8985507246376812,0.0,0.9333333333333333,21.0
1.0,0.10887949260042284,0.375,0.75,1.0,0.8985507246376812,0.0,0.9333333333333333,21.0
0.8571428571428571,0.19556025369978858,0.25,0.25,1.0,0.8985507246376812,0.0,0.4,28.5
0.8571428571428571,0.28012684989429176,0.375,0.25,1.0,0.5362318840579711,0.0,0.4,25.5
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,0.0,0.4,28.0
0.8571428571428571,0.28012684989429176,0.375,0.25,1.0,0.5362318840579711,0.0,0.5333333333333333,25.5
0.8571428571428571,0.19556025369978858,0.25,0.75,1.0,0.9565217391304348,0.0,0.5333333333333333,28.0
0.8571428571428571,0.28012684989429176,0.375,0.25,0.0,0.5362318840579711,0.0,0.5333333333333333,25.0
0.7142857142857142,0.2959830866807611,0.375,0.25,0.0,0.5362318840579711,0.0,0.5333333333333333,26.0
0.7142857142857142,0.2959830866807611,0.375,0.25,1.0,0.5362318840579711,0.0,0.4,26.5
0.7142857142857142,0.2959830866807611,0.375,0.25,0.0,0.5362318840579711,0.0,0.4,26.5
0.7142857142857142,0.2959830866807611,0.375,0.25,1.0,0.5362318840579711,0.0,0.5333333333333333,26.5
0.7142857142857142,0.20401691331923894,0.25,0.25,1.0,0.9565217391304348,0.0,0.5333333333333333,29.5
0.7142857142857142,0.20401691331923894,0.25,0.25,0.0,0.9565217391304348,0.0,0.5333333333333333,28.5
0.7142857142857142,0.20401691331923894,0.25,0.25,0.0,0.8985507246376812,0.0,0.4,28.0
1.0,0.113107822410148,0.3125,0.75,0.0,0.8985507246376812,1.0,1.0,18.5
1.0,0.113107822410148,0.3125,0.75,0.0,0.8985507246376812,1.0,0.9333333333333333,19.0
1.0,0.17124735729386895,0.3125,0.75,0.0,0.9565217391304348,1.0,0.9333333333333333,19.0
1.0,0.17124735729386895,0.3125,0.75,0.0,0.9565217391304348,1.0,1.0,19.0
1.0,0.113107822410148,0.3125,0.25,0.6666666666666666,0.8985507246376812,1.0,0.9333333333333333,18.0
0.5714285714285714,0.13636363636363638,0.25,0.25,0.6666666666666666,0.5797101449275363,1.0,0.9333333333333333,29.5
0.5714285714285714,0.25369978858350956,0.375,0.25,0.0,0.6811594202898551,1.0,0.9333333333333333,23.5
0.5714285714285714,0.13636363636363638,0.25,0.25,0.6666666666666666,0.6811594202898551,1.0,0.9333333333333333,29.5
0.5714285714285714,0.25369978858350956,0.375,0.25,0.0,0.6811594202898551,1.0,0.9333333333333333,23.0
1.0,0.08985200845665964,0.25,0.75,0.6666666666666666,0.9855072463768116,0.0,0.5333333333333333,25.0
1.0,0.08985200845665964,0.25,0.75,0.6666666666666666,0.9855072463768116,0.0,0.5333333333333333,24.0
1.0,0.10570824524312897,0.25,0.75,1.0,0.9855072463768116,0.0,0.5333333333333333,22.5
1.0,0.10570824524312897,0.25,0.75,1.0,0.9855072463768116,0.0,0.5333333333333333,22.5
